timestamp,id,success,client_type,target_addr,domain,latency_ms
2025-06-26T22:44:57.796245956Z,450,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.79626106Z,806,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.79627534Z,74,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.796293346Z,596,true,malicioso,dns_udp:53,example.com.,73
2025-06-26T22:44:57.796306155Z,386,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.796319839Z,69,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.796332338Z,407,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.79634649Z,482,true,malicioso,dns_udp:53,example.com.,73
2025-06-26T22:44:57.796359646Z,340,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.796373714Z,786,true,malicioso,dns_udp:53,example.com.,65
2025-06-26T22:44:57.796388501Z,730,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796404179Z,102,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.796417519Z,616,true,malicioso,dns_udp:53,example.com.,73
2025-06-26T22:44:57.796432122Z,803,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796445563Z,844,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796461177Z,448,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.796484725Z,1411,true,malicioso,dns_udp:53,example.com.,65
2025-06-26T22:44:57.796500483Z,607,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796517092Z,1145,true,malicioso,dns_udp:53,example.com.,65
2025-06-26T22:44:57.79653265Z,812,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796545053Z,997,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796559177Z,895,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796579493Z,418,true,malicioso,dns_udp:53,example.com.,75
2025-06-26T22:44:57.796592905Z,727,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796606382Z,614,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.79662079Z,1041,true,malicioso,dns_udp:53,example.com.,66
2025-06-26T22:44:57.796633357Z,1611,true,malicioso,dns_udp:53,example.com.,66
2025-06-26T22:44:57.796649688Z,466,true,malicioso,dns_udp:53,example.com.,75
2025-06-26T22:44:57.796662876Z,896,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796676159Z,961,true,malicioso,dns_udp:53,example.com.,71
2025-06-26T22:44:57.796690309Z,885,true,malicioso,dns_udp:53,example.com.,66
2025-06-26T22:44:57.796705545Z,1613,true,malicioso,dns_udp:53,example.com.,66
2025-06-26T22:44:57.79672744Z,852,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796741181Z,583,true,malicioso,dns_udp:53,example.com.,75
2025-06-26T22:44:57.796753818Z,949,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.79676861Z,818,true,malicioso,dns_udp:53,example.com.,71
2025-06-26T22:44:57.796781603Z,481,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.796794579Z,851,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796809022Z,861,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.796823685Z,787,true,malicioso,dns_udp:53,example.com.,66
2025-06-26T22:44:57.796836634Z,480,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.796850612Z,550,true,malicioso,dns_udp:53,example.com.,75
2025-06-26T22:44:57.796863593Z,103,true,malicioso,dns_udp:53,example.com.,75
2025-06-26T22:44:57.796876893Z,842,true,malicioso,dns_udp:53,example.com.,66
2025-06-26T22:44:57.796890597Z,608,true,malicioso,dns_udp:53,example.com.,73
